id,food_name,portion_label,portion_grams,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,sodium_mg_per_100g,is_vegan,is_vegetarian,is_gluten_free,allergens,image_r,image_g,image_b,brightness
689,Greek Yogurt Bowl,1 bowl,167,129.32,11.40,7.29,5.24,1.54,63.12,0,1,1,dairy,236,228,207,224
690,Tofu Stir Fry,1 bowl,207,153.70,12.43,10.42,8.38,3.09,397.02,1,1,1,soy,167,150,120,146
691,Lentil Soup,1 bowl,236,122.96,9.32,20.84,0.52,8.24,366.48,1,1,1,none,181,122,75,126
692,Beef Steak,1 steak,177,287.26,25.90,0.00,19.91,0.00,59.04,0,0,1,none,149,80,69,99
693,Banana Smoothie,1 glass,296,101.76,3.63,18.76,1.26,2.68,45.81,0,1,1,dairy,237,219,145,200
694,Quinoa Bowl,1 bowl,197,127.20,4.56,21.88,1.99,2.88,14.25,1,1,1,none,209,193,146,183
695,Pasta Alfredo,1 plate,276,243.80,8.29,27.09,11.53,1.54,468.28,0,1,0,gluten|dairy,237,215,176,209
696,Veggie Burger,1 burger,217,201.40,12.43,25.01,5.24,6.18,529.36,1,1,0,gluten|soy,173,125,90,129
697,Sushi Roll,8 pieces,246,159.00,6.22,29.18,2.10,1.03,417.38,0,0,0,fish|soy,232,225,212,223
698,Fruit Bowl,1 bowl,217,68.90,1.04,16.67,0.31,3.09,2.04,1,1,1,none,215,150,108,158
699,Idli Sambar,3 idlis,256,140.98,4.97,27.09,1.26,3.60,285.04,1,1,1,none,223,204,171,199
700,Peanut Butter Sandwich,1 sandwich,148,309.52,12.43,31.26,14.67,4.12,397.02,1,1,0,peanut|gluten,187,146,100,144
701,Grilled Chicken Breast,1 serving,150,155.10,29.88,0.00,3.43,0.00,72.67,0,0,1,none,174,133,102,136
702,Brown Rice,1 bowl,180,104.34,2.51,22.03,0.86,1.75,4.91,1,1,1,none,203,176,132,170
703,Mixed Salad,1 bowl,120,26.32,1.83,5.27,0.29,2.13,39.28,1,1,1,none,100,150,84,111
704,Paneer Curry,1 bowl,200,249.10,10.60,8.62,19.04,1.94,412.44,0,1,1,dairy,190,120,83,131
705,Chapati,2 pieces,80,279.18,9.25,52.69,3.52,7.08,304.42,1,1,0,gluten,206,158,112,159
706,Omelette,2 eggs,110,144.76,12.15,1.05,10.09,0.00,152.21,0,1,1,egg,225,189,106,173
707,Salmon Fillet,1 fillet,160,195.52,19.28,0.00,12.38,0.00,57.94,0,0,1,fish,230,140,121,164
708,Avocado Toast,1 slice,140,206.80,5.78,22.03,11.42,6.79,333.88,1,1,0,gluten,153,177,102,144
709,Greek Yogurt Bowl,1 bowl,170,114.68,10.60,6.71,4.76,1.46,60.88,0,1,1,dairy,234,224,203,220
710,Tofu Stir Fry,1 bowl,210,136.30,11.57,9.58,7.62,2.91,382.98,1,1,1,soy,165,146,116,142
711,Lentil Soup,1 bowl,240,109.04,8.68,19.16,0.48,7.76,353.52,1,1,1,none,179,118,71,123
712,Beef Steak,1 steak,180,254.74,24.10,0.00,18.09,0.00,56.96,0,0,1,none,147,76,65,96
713,Banana Smoothie,1 glass,300,90.24,3.37,17.24,1.14,2.52,44.19,0,1,1,dairy,235,215,141,197
714,Quinoa Bowl,1 bowl,200,112.80,4.24,20.12,1.81,2.72,13.75,1,1,1,none,207,189,142,179
715,Pasta Alfredo,1 plate,280,216.20,7.71,24.91,10.47,1.46,451.72,0,1,0,gluten|dairy,235,211,172,206
716,Veggie Burger,1 burger,220,178.60,11.57,22.99,4.76,5.82,510.64,1,1,0,gluten|soy,171,121,86,126
717,Sushi Roll,8 pieces,250,141.00,5.78,26.82,1.90,0.97,402.62,0,0,0,fish|soy,230,221,208,220
718,Fruit Bowl,1 bowl,220,61.10,0.96,15.33,0.29,2.91,1.96,1,1,1,none,213,146,104,154
719,Idli Sambar,3 idlis,260,125.02,4.63,24.91,1.14,3.40,274.96,1,1,1,none,221,200,167,196
720,Peanut Butter Sandwich,1 sandwich,150,274.48,11.57,28.74,13.33,3.88,382.98,1,1,0,peanut|gluten,185,142,96,141
721,Grilled Chicken Breast,1 serving,152,158.40,30.26,0.00,3.48,0.00,73.11,0,0,1,none,172,140,98,137
722,Brown Rice,1 bowl,183,106.56,2.54,22.36,0.87,1.76,4.94,1,1,1,none,201,183,128,171
723,Mixed Salad,1 bowl,122,26.88,1.85,5.35,0.29,2.16,39.52,1,1,1,none,98,157,80,112
724,Paneer Curry,1 bowl,203,254.40,10.74,8.75,19.36,1.96,414.96,0,1,1,dairy,188,127,79,131
725,Chapati,2 pieces,81,285.12,9.37,53.46,3.58,7.15,306.28,1,1,0,gluten,204,165,108,159
726,Omelette,2 eggs,112,147.84,12.30,1.07,10.26,0.00,153.14,0,1,1,egg,223,196,102,174
727,Salmon Fillet,1 fillet,162,199.68,19.52,0.00,12.58,0.00,58.29,0,0,1,fish,228,147,117,164
728,Avocado Toast,1 slice,142,211.20,5.86,22.36,11.62,6.86,335.92,1,1,0,gluten,151,184,98,144
729,Greek Yogurt Bowl,1 bowl,173,117.12,10.74,6.80,4.84,1.47,61.26,0,1,1,dairy,232,231,199,221
730,Tofu Stir Fry,1 bowl,213,139.20,11.71,9.72,7.74,2.94,385.32,1,1,1,soy,163,153,112,143
731,Lentil Soup,1 bowl,244,111.36,8.78,19.44,0.48,7.84,355.68,1,1,1,none,177,125,67,123
732,Beef Steak,1 steak,183,260.16,24.40,0.00,18.39,0.00,57.30,0,0,1,none,145,83,61,96
733,Banana Smoothie,1 glass,304,92.16,3.42,17.50,1.16,2.55,44.46,0,1,1,dairy,233,222,137,197
734,Quinoa Bowl,1 bowl,203,115.20,4.29,20.41,1.84,2.74,13.83,1,1,1,none,205,196,138,180
735,Pasta Alfredo,1 plate,284,220.80,7.81,25.27,10.65,1.47,454.48,0,1,0,gluten|dairy,233,218,168,206
736,Veggie Burger,1 burger,223,182.40,11.71,23.33,4.84,5.88,513.76,1,1,0,gluten|soy,169,128,82,126
737,Sushi Roll,8 pieces,254,144.00,5.86,27.22,1.94,0.98,405.08,0,0,0,fish|soy,228,228,204,220
738,Fruit Bowl,1 bowl,223,62.40,0.98,15.55,0.29,2.94,1.98,1,1,1,none,211,153,100,155
739,Idli Sambar,3 idlis,264,127.68,4.68,25.27,1.16,3.43,276.64,1,1,1,none,219,207,163,196
740,Peanut Butter Sandwich,1 sandwich,152,280.32,11.71,29.16,13.55,3.92,385.32,1,1,0,peanut|gluten,183,149,92,141
741,Grilled Chicken Breast,1 serving,155,161.70,30.63,0.00,3.54,0.00,73.56,0,0,1,none,170,136,103,136
742,Brown Rice,1 bowl,185,108.78,2.57,22.68,0.89,1.78,4.97,1,1,1,none,199,179,133,170
743,Mixed Salad,1 bowl,124,27.44,1.88,5.42,0.30,2.18,39.76,1,1,1,none,96,153,85,111
744,Paneer Curry,1 bowl,206,259.70,10.87,8.87,19.68,1.98,417.48,0,1,1,dairy,186,123,84,131
745,Chapati,2 pieces,82,291.06,9.48,54.23,3.64,7.23,308.14,1,1,0,gluten,202,161,113,159
746,Omelette,2 eggs,113,150.92,12.45,1.08,10.43,0.00,154.07,0,1,1,egg,221,192,107,173
747,Salmon Fillet,1 fillet,165,203.84,19.76,0.00,12.79,0.00,58.65,0,0,1,fish,226,143,122,164
748,Avocado Toast,1 slice,144,215.60,5.93,22.68,11.81,6.93,337.96,1,1,0,gluten,149,180,103,144
749,Greek Yogurt Bowl,1 bowl,175,119.56,10.87,6.90,4.92,1.48,61.63,0,1,1,dairy,230,227,204,220
750,Tofu Stir Fry,1 bowl,216,142.10,11.86,9.86,7.87,2.97,387.66,1,1,1,soy,161,149,117,142
751,Lentil Soup,1 bowl,247,113.68,8.89,19.72,0.49,7.92,357.84,1,1,1,none,175,121,72,123
752,Beef Steak,1 steak,185,265.58,24.70,0.00,18.70,0.00,57.65,0,0,1,none,143,79,66,96
753,Banana Smoothie,1 glass,309,94.08,3.46,17.75,1.18,2.57,44.73,0,1,1,dairy,231,218,142,197
754,Quinoa Bowl,1 bowl,206,117.60,4.35,20.71,1.87,2.77,13.92,1,1,1,none,203,192,143,179
755,Pasta Alfredo,1 plate,288,225.40,7.90,25.64,10.82,1.48,457.24,0,1,0,gluten|dairy,231,214,173,206
756,Veggie Burger,1 burger,227,186.20,11.86,23.66,4.92,5.94,516.88,1,1,0,gluten|soy,167,124,87,126
757,Sushi Roll,8 pieces,258,147.00,5.93,27.61,1.97,0.99,407.54,0,0,0,fish|soy,226,224,209,220
758,Fruit Bowl,1 bowl,227,63.70,0.99,15.78,0.30,2.97,1.99,1,1,1,none,209,149,105,154
759,Idli Sambar,3 idlis,268,130.34,4.74,25.64,1.18,3.46,278.32,1,1,1,none,217,203,168,196
760,Peanut Butter Sandwich,1 sandwich,155,286.16,11.86,29.58,13.78,3.96,387.66,1,1,0,peanut|gluten,181,145,97,141
761,Grilled Chicken Breast,1 serving,146,165.00,31.00,0.00,3.60,0.00,74.00,0,0,1,none,168,132,99,133
762,Brown Rice,1 bowl,175,111.00,2.60,23.00,0.90,1.80,5.00,1,1,1,none,197,175,129,167
763,Mixed Salad,1 bowl,116,28.00,1.90,5.50,0.30,2.20,40.00,1,1,1,none,94,149,81,108
764,Paneer Curry,1 bowl,194,265.00,11.00,9.00,20.00,2.00,420.00,0,1,1,dairy,184,119,80,128
765,Chapati,2 pieces,78,297.00,9.60,55.00,3.70,7.30,310.00,1,1,0,gluten,200,157,109,155
766,Omelette,2 eggs,107,154.00,12.60,1.10,10.60,0.00,155.00,0,1,1,egg,219,188,103,170
767,Salmon Fillet,1 fillet,155,208.00,20.00,0.00,13.00,0.00,59.00,0,0,1,fish,224,139,118,160
768,Avocado Toast,1 slice,136,220.00,6.00,23.00,12.00,7.00,340.00,1,1,0,gluten,147,176,99,141
769,Greek Yogurt Bowl,1 bowl,165,122.00,11.00,7.00,5.00,1.50,62.00,0,1,1,dairy,228,223,200,217
770,Tofu Stir Fry,1 bowl,204,145.00,12.00,10.00,8.00,3.00,390.00,1,1,1,soy,159,145,113,139
771,Lentil Soup,1 bowl,233,116.00,9.00,20.00,0.50,8.00,360.00,1,1,1,none,173,117,68,119
772,Beef Steak,1 steak,175,271.00,25.00,0.00,19.00,0.00,58.00,0,0,1,none,141,75,62,93
773,Banana Smoothie,1 glass,291,96.00,3.50,18.00,1.20,2.60,45.00,0,1,1,dairy,229,214,138,194
774,Quinoa Bowl,1 bowl,194,120.00,4.40,21.00,1.90,2.80,14.00,1,1,1,none,201,188,139,176
775,Pasta Alfredo,1 plate,272,230.00,8.00,26.00,11.00,1.50,460.00,0,1,0,gluten|dairy,229,210,169,203
776,Veggie Burger,1 burger,213,190.00,12.00,24.00,5.00,6.00,520.00,1,1,0,gluten|soy,165,120,83,123
777,Sushi Roll,8 pieces,243,150.00,6.00,28.00,2.00,1.00,410.00,0,0,0,fish|soy,224,220,205,216
778,Fruit Bowl,1 bowl,213,65.00,1.00,16.00,0.30,3.00,2.00,1,1,1,none,207,145,101,151
779,Idli Sambar,3 idlis,252,133.00,4.80,26.00,1.20,3.50,280.00,1,1,1,none,215,199,164,193
780,Peanut Butter Sandwich,1 sandwich,146,292.00,12.00,30.00,14.00,4.00,390.00,1,1,0,peanut|gluten,179,141,93,138
781,Grilled Chicken Breast,1 serving,148,168.30,31.37,0.00,3.66,0.00,74.44,0,0,1,none,166,139,104,136
782,Brown Rice,1 bowl,177,113.22,2.63,23.32,0.91,1.82,5.03,1,1,1,none,195,182,134,170
783,Mixed Salad,1 bowl,118,28.56,1.92,5.58,0.30,2.22,40.24,1,1,1,none,92,156,86,111
784,Paneer Curry,1 bowl,197,270.30,11.13,9.13,20.32,2.02,422.52,0,1,1,dairy,182,126,85,131
785,Chapati,2 pieces,79,302.94,9.72,55.77,3.76,7.37,311.86,1,1,0,gluten,198,164,114,159
786,Omelette,2 eggs,108,157.08,12.75,1.12,10.77,0.00,155.93,0,1,1,egg,217,195,108,173
787,Salmon Fillet,1 fillet,158,212.16,20.24,0.00,13.21,0.00,59.35,0,0,1,fish,222,146,123,164
788,Avocado Toast,1 slice,138,224.40,6.07,23.32,12.19,7.07,342.04,1,1,0,gluten,145,183,104,144
789,Greek Yogurt Bowl,1 bowl,167,124.44,11.13,7.10,5.08,1.52,62.37,0,1,1,dairy,226,230,205,220
790,Tofu Stir Fry,1 bowl,207,147.90,12.14,10.14,8.13,3.03,392.34,1,1,1,soy,157,152,118,142
791,Lentil Soup,1 bowl,236,118.32,9.11,20.28,0.51,8.08,362.16,1,1,1,none,171,124,73,123
792,Beef Steak,1 steak,177,276.42,25.30,0.00,19.30,0.00,58.35,0,0,1,none,139,82,67,96
793,Banana Smoothie,1 glass,296,97.92,3.54,18.25,1.22,2.63,45.27,0,1,1,dairy,227,221,143,197
794,Quinoa Bowl,1 bowl,197,122.40,4.45,21.29,1.93,2.83,14.08,1,1,1,none,199,195,144,179
795,Pasta Alfredo,1 plate,276,234.60,8.10,26.36,11.18,1.52,462.76,0,1,0,gluten|dairy,227,217,174,206
796,Veggie Burger,1 burger,217,193.80,12.14,24.34,5.08,6.06,523.12,1,1,0,gluten|soy,163,127,88,126
797,Sushi Roll,8 pieces,246,153.00,6.07,28.39,2.03,1.01,412.46,0,0,0,fish|soy,222,227,210,220
798,Fruit Bowl,1 bowl,217,66.30,1.01,16.22,0.30,3.03,2.01,1,1,1,none,205,152,106,154
799,Idli Sambar,3 idlis,256,135.66,4.86,26.36,1.22,3.54,281.68,1,1,1,none,213,206,169,196
800,Peanut Butter Sandwich,1 sandwich,148,297.84,12.14,30.42,14.22,4.04,392.34,1,1,0,peanut|gluten,177,148,98,141
801,Grilled Chicken Breast,1 serving,150,171.60,31.74,0.00,3.72,0.00,74.89,0,0,1,none,177,135,100,137
802,Brown Rice,1 bowl,180,115.44,2.66,23.64,0.93,1.84,5.06,1,1,1,none,206,178,130,171
803,Mixed Salad,1 bowl,120,29.12,1.95,5.65,0.31,2.24,40.48,1,1,1,none,103,152,82,112
804,Paneer Curry,1 bowl,200,275.60,11.26,9.25,20.64,2.04,425.04,0,1,1,dairy,193,122,81,132
805,Chapati,2 pieces,80,308.88,9.83,56.54,3.82,7.45,313.72,1,1,0,gluten,209,160,110,160
806,Omelette,2 eggs,110,160.16,12.90,1.13,10.94,0.00,156.86,0,1,1,egg,228,191,104,174
807,Salmon Fillet,1 fillet,160,216.32,20.48,0.00,13.42,0.00,59.71,0,0,1,fish,233,142,119,165
808,Avocado Toast,1 slice,140,228.80,6.14,23.64,12.38,7.14,344.08,1,1,0,gluten,156,179,100,145
809,Greek Yogurt Bowl,1 bowl,170,126.88,11.26,7.20,5.16,1.53,62.74,0,1,1,dairy,237,226,201,221
810,Tofu Stir Fry,1 bowl,210,150.80,12.29,10.28,8.26,3.06,394.68,1,1,1,soy,168,148,114,143
811,Lentil Soup,1 bowl,240,120.64,9.22,20.56,0.52,8.16,364.32,1,1,1,none,182,120,69,124
812,Beef Steak,1 steak,180,281.84,25.60,0.00,19.61,0.00,58.70,0,0,1,none,150,78,63,97
813,Banana Smoothie,1 glass,300,99.84,3.58,18.50,1.24,2.65,45.54,0,1,1,dairy,238,217,139,198
814,Quinoa Bowl,1 bowl,200,124.80,4.51,21.59,1.96,2.86,14.17,1,1,1,none,210,191,140,180
815,Pasta Alfredo,1 plate,280,239.20,8.19,26.73,11.35,1.53,465.52,0,1,0,gluten|dairy,238,213,170,207
816,Veggie Burger,1 burger,220,197.60,12.29,24.67,5.16,6.12,526.24,1,1,0,gluten|soy,174,123,84,127
817,Sushi Roll,8 pieces,250,156.00,6.14,28.78,2.06,1.02,414.92,0,0,0,fish|soy,233,223,206,221
818,Fruit Bowl,1 bowl,220,67.60,1.02,16.45,0.31,3.06,2.02,1,1,1,none,216,148,102,155
819,Idli Sambar,3 idlis,260,138.32,4.92,26.73,1.24,3.57,283.36,1,1,1,none,224,202,165,197
820,Peanut Butter Sandwich,1 sandwich,150,303.68,12.29,30.84,14.45,4.08,394.68,1,1,0,peanut|gluten,188,144,94,142
821,Grilled Chicken Breast,1 serving,152,174.90,32.12,0.00,3.77,0.00,75.33,0,0,1,none,175,131,105,137
822,Brown Rice,1 bowl,183,117.66,2.69,23.97,0.94,1.85,5.09,1,1,1,none,204,174,135,171
823,Mixed Salad,1 bowl,122,29.68,1.97,5.73,0.31,2.27,40.72,1,1,1,none,101,148,87,112
824,Paneer Curry,1 bowl,203,280.90,11.40,9.38,20.96,2.06,427.56,0,1,1,dairy,191,118,86,132
825,Chapati,2 pieces,81,314.82,9.95,57.31,3.88,7.52,315.58,1,1,0,gluten,207,156,115,159
826,Omelette,2 eggs,112,163.24,13.05,1.15,11.11,0.00,157.79,0,1,1,egg,226,187,109,174
827,Salmon Fillet,1 fillet,162,220.48,20.72,0.00,13.62,0.00,60.06,0,0,1,fish,231,138,124,164
828,Avocado Toast,1 slice,142,233.20,6.22,23.97,12.58,7.21,346.12,1,1,0,gluten,154,175,105,145
829,Greek Yogurt Bowl,1 bowl,173,129.32,11.40,7.29,5.24,1.54,63.12,0,1,1,dairy,235,222,206,221
830,Tofu Stir Fry,1 bowl,213,153.70,12.43,10.42,8.38,3.09,397.02,1,1,1,soy,166,144,119,143
831,Lentil Soup,1 bowl,244,122.96,9.32,20.84,0.52,8.24,366.48,1,1,1,none,180,116,74,123
832,Beef Steak,1 steak,183,287.26,25.90,0.00,19.91,0.00,59.04,0,0,1,none,148,74,68,97
833,Banana Smoothie,1 glass,304,101.76,3.63,18.76,1.26,2.68,45.81,0,1,1,dairy,236,213,144,198
834,Quinoa Bowl,1 bowl,203,127.20,4.56,21.88,1.99,2.88,14.25,1,1,1,none,208,187,145,180
835,Pasta Alfredo,1 plate,284,243.80,8.29,27.09,11.53,1.54,468.28,0,1,0,gluten|dairy,236,209,175,207
836,Veggie Burger,1 burger,223,201.40,12.43,25.01,5.24,6.18,529.36,1,1,0,gluten|soy,172,119,89,127
837,Sushi Roll,8 pieces,254,159.00,6.22,29.18,2.10,1.03,417.38,0,0,0,fish|soy,231,219,211,220
838,Fruit Bowl,1 bowl,223,68.90,1.04,16.67,0.31,3.09,2.04,1,1,1,none,214,144,107,155
839,Idli Sambar,3 idlis,264,140.98,4.97,27.09,1.26,3.60,285.04,1,1,1,none,222,198,170,197
840,Peanut Butter Sandwich,1 sandwich,152,309.52,12.43,31.26,14.67,4.12,397.02,1,1,0,peanut|gluten,186,140,99,142
841,Grilled Chicken Breast,1 serving,155,155.10,29.88,0.00,3.43,0.00,72.67,0,0,1,none,173,138,101,137
842,Brown Rice,1 bowl,185,104.34,2.51,22.03,0.86,1.75,4.91,1,1,1,none,202,181,131,171
843,Mixed Salad,1 bowl,124,26.32,1.83,5.27,0.29,2.13,39.28,1,1,1,none,99,155,83,112
844,Paneer Curry,1 bowl,206,249.10,10.60,8.62,19.04,1.94,412.44,0,1,1,dairy,189,125,82,132
845,Chapati,2 pieces,82,279.18,9.25,52.69,3.52,7.08,304.42,1,1,0,gluten,205,163,111,160
846,Omelette,2 eggs,113,144.76,12.15,1.05,10.09,0.00,152.21,0,1,1,egg,224,194,105,174
847,Salmon Fillet,1 fillet,165,195.52,19.28,0.00,12.38,0.00,57.94,0,0,1,fish,229,145,120,165
848,Avocado Toast,1 slice,144,206.80,5.78,22.03,11.42,6.79,333.88,1,1,0,gluten,152,182,101,145
849,Greek Yogurt Bowl,1 bowl,175,114.68,10.60,6.71,4.76,1.46,60.88,0,1,1,dairy,233,229,202,221
850,Tofu Stir Fry,1 bowl,216,136.30,11.57,9.58,7.62,2.91,382.98,1,1,1,soy,164,151,115,143
851,Lentil Soup,1 bowl,247,109.04,8.68,19.16,0.48,7.76,353.52,1,1,1,none,178,123,70,124
852,Beef Steak,1 steak,185,254.74,24.10,0.00,18.09,0.00,56.96,0,0,1,none,146,81,64,97
853,Banana Smoothie,1 glass,309,90.24,3.37,17.24,1.14,2.52,44.19,0,1,1,dairy,234,220,140,198
854,Quinoa Bowl,1 bowl,206,112.80,4.24,20.12,1.81,2.72,13.75,1,1,1,none,206,194,141,180
855,Pasta Alfredo,1 plate,288,216.20,7.71,24.91,10.47,1.46,451.72,0,1,0,gluten|dairy,234,216,171,207
856,Veggie Burger,1 burger,227,178.60,11.57,22.99,4.76,5.82,510.64,1,1,0,gluten|soy,170,126,85,127
857,Sushi Roll,8 pieces,258,141.00,5.78,26.82,1.90,0.97,402.62,0,0,0,fish|soy,229,226,207,221
858,Fruit Bowl,1 bowl,227,61.10,0.96,15.33,0.29,2.91,1.96,1,1,1,none,212,151,103,155
859,Idli Sambar,3 idlis,268,125.02,4.63,24.91,1.14,3.40,274.96,1,1,1,none,220,205,166,197
860,Peanut Butter Sandwich,1 sandwich,155,274.48,11.57,28.74,13.33,3.88,382.98,1,1,0,peanut|gluten,184,147,95,142
861,Grilled Chicken Breast,1 serving,146,158.40,30.26,0.00,3.48,0.00,73.11,0,0,1,none,171,134,106,137
862,Brown Rice,1 bowl,175,106.56,2.54,22.36,0.87,1.76,4.94,1,1,1,none,200,177,136,171
863,Mixed Salad,1 bowl,116,26.88,1.85,5.35,0.29,2.16,39.52,1,1,1,none,97,151,88,112
864,Paneer Curry,1 bowl,194,254.40,10.74,8.75,19.36,1.96,414.96,0,1,1,dairy,187,121,87,132
865,Chapati,2 pieces,78,285.12,9.37,53.46,3.58,7.15,306.28,1,1,0,gluten,203,159,116,159
866,Omelette,2 eggs,107,147.84,12.30,1.07,10.26,0.00,153.14,0,1,1,egg,222,190,110,174
867,Salmon Fillet,1 fillet,155,199.68,19.52,0.00,12.58,0.00,58.29,0,0,1,fish,227,141,125,164
868,Avocado Toast,1 slice,136,211.20,5.86,22.36,11.62,6.86,335.92,1,1,0,gluten,150,178,106,145
869,Greek Yogurt Bowl,1 bowl,165,117.12,10.74,6.80,4.84,1.47,61.26,0,1,1,dairy,231,225,207,221
870,Tofu Stir Fry,1 bowl,204,139.20,11.71,9.72,7.74,2.94,385.32,1,1,1,soy,162,147,120,143
871,Lentil Soup,1 bowl,233,111.36,8.78,19.44,0.48,7.84,355.68,1,1,1,none,176,119,75,123
872,Beef Steak,1 steak,175,260.16,24.40,0.00,18.39,0.00,57.30,0,0,1,none,144,77,69,97
873,Banana Smoothie,1 glass,291,92.16,3.42,17.50,1.16,2.55,44.46,0,1,1,dairy,232,216,145,198
874,Quinoa Bowl,1 bowl,194,115.20,4.29,20.41,1.84,2.74,13.83,1,1,1,none,204,190,146,180
875,Pasta Alfredo,1 plate,272,220.80,7.81,25.27,10.65,1.47,454.48,0,1,0,gluten|dairy,232,212,176,207
876,Veggie Burger,1 burger,213,182.40,11.71,23.33,4.84,5.88,513.76,1,1,0,gluten|soy,168,122,90,127
877,Sushi Roll,8 pieces,243,144.00,5.86,27.22,1.94,0.98,405.08,0,0,0,fish|soy,227,222,212,220
878,Fruit Bowl,1 bowl,213,62.40,0.98,15.55,0.29,2.94,1.98,1,1,1,none,210,147,108,155
879,Idli Sambar,3 idlis,252,127.68,4.68,25.27,1.16,3.43,276.64,1,1,1,none,218,201,171,197
880,Peanut Butter Sandwich,1 sandwich,146,280.32,11.71,29.16,13.55,3.92,385.32,1,1,0,peanut|gluten,182,143,100,142
881,Grilled Chicken Breast,1 serving,148,161.70,30.63,0.00,3.54,0.00,73.56,0,0,1,none,169,130,102,134
882,Brown Rice,1 bowl,177,108.78,2.57,22.68,0.89,1.78,4.97,1,1,1,none,198,173,132,168
883,Mixed Salad,1 bowl,118,27.44,1.88,5.42,0.30,2.18,39.76,1,1,1,none,95,147,84,109
884,Paneer Curry,1 bowl,197,259.70,10.87,8.87,19.68,1.98,417.48,0,1,1,dairy,185,117,83,128
885,Chapati,2 pieces,79,291.06,9.48,54.23,3.64,7.23,308.14,1,1,0,gluten,201,155,112,156
886,Omelette,2 eggs,108,150.92,12.45,1.08,10.43,0.00,154.07,0,1,1,egg,220,186,106,171
887,Salmon Fillet,1 fillet,158,203.84,19.76,0.00,12.79,0.00,58.65,0,0,1,fish,225,137,121,161
888,Avocado Toast,1 slice,138,215.60,5.93,22.68,11.81,6.93,337.96,1,1,0,gluten,148,174,102,141
889,Greek Yogurt Bowl,1 bowl,167,119.56,10.87,6.90,4.92,1.48,61.63,0,1,1,dairy,229,221,203,218
890,Tofu Stir Fry,1 bowl,207,142.10,11.86,9.86,7.87,2.97,387.66,1,1,1,soy,160,143,116,140
891,Lentil Soup,1 bowl,236,113.68,8.89,19.72,0.49,7.92,357.84,1,1,1,none,174,115,71,120
892,Beef Steak,1 steak,177,265.58,24.70,0.00,18.70,0.00,57.65,0,0,1,none,142,73,65,93
893,Banana Smoothie,1 glass,296,94.08,3.46,17.75,1.18,2.57,44.73,0,1,1,dairy,230,212,141,194
894,Quinoa Bowl,1 bowl,197,117.60,4.35,20.71,1.87,2.77,13.92,1,1,1,none,202,186,142,177
895,Pasta Alfredo,1 plate,276,225.40,7.90,25.64,10.82,1.48,457.24,0,1,0,gluten|dairy,230,208,172,203
896,Veggie Burger,1 burger,217,186.20,11.86,23.66,4.92,5.94,516.88,1,1,0,gluten|soy,166,118,86,123
897,Sushi Roll,8 pieces,246,147.00,5.93,27.61,1.97,0.99,407.54,0,0,0,fish|soy,225,218,208,217
898,Fruit Bowl,1 bowl,217,63.70,0.99,15.78,0.30,2.97,1.99,1,1,1,none,208,143,104,152
899,Idli Sambar,3 idlis,256,130.34,4.74,25.64,1.18,3.46,278.32,1,1,1,none,216,197,167,193
900,Peanut Butter Sandwich,1 sandwich,148,286.16,11.86,29.58,13.78,3.96,387.66,1,1,0,peanut|gluten,180,139,96,138
901,Grilled Chicken Breast,1 serving,150,165.00,31.00,0.00,3.60,0.00,74.00,0,0,1,none,167,137,98,134
902,Brown Rice,1 bowl,180,111.00,2.60,23.00,0.90,1.80,5.00,1,1,1,none,196,180,128,168
903,Mixed Salad,1 bowl,120,28.00,1.90,5.50,0.30,2.20,40.00,1,1,1,none,93,154,80,109
904,Paneer Curry,1 bowl,200,265.00,11.00,9.00,20.00,2.00,420.00,0,1,1,dairy,183,124,79,129
905,Chapati,2 pieces,80,297.00,9.60,55.00,3.70,7.30,310.00,1,1,0,gluten,199,162,108,156
906,Omelette,2 eggs,110,154.00,12.60,1.10,10.60,0.00,155.00,0,1,1,egg,218,193,102,171
907,Salmon Fillet,1 fillet,160,208.00,20.00,0.00,13.00,0.00,59.00,0,0,1,fish,223,144,117,161
908,Avocado Toast,1 slice,140,220.00,6.00,23.00,12.00,7.00,340.00,1,1,0,gluten,146,181,98,142
909,Greek Yogurt Bowl,1 bowl,170,122.00,11.00,7.00,5.00,1.50,62.00,0,1,1,dairy,227,228,199,218
910,Tofu Stir Fry,1 bowl,210,145.00,12.00,10.00,8.00,3.00,390.00,1,1,1,soy,158,150,112,140
911,Lentil Soup,1 bowl,240,116.00,9.00,20.00,0.50,8.00,360.00,1,1,1,none,172,122,67,120
912,Beef Steak,1 steak,180,271.00,25.00,0.00,19.00,0.00,58.00,0,0,1,none,140,80,61,94
913,Banana Smoothie,1 glass,300,96.00,3.50,18.00,1.20,2.60,45.00,0,1,1,dairy,228,219,137,195
914,Quinoa Bowl,1 bowl,200,120.00,4.40,21.00,1.90,2.80,14.00,1,1,1,none,200,193,138,177
915,Pasta Alfredo,1 plate,280,230.00,8.00,26.00,11.00,1.50,460.00,0,1,0,gluten|dairy,228,215,168,204
916,Veggie Burger,1 burger,220,190.00,12.00,24.00,5.00,6.00,520.00,1,1,0,gluten|soy,164,125,82,124
917,Sushi Roll,8 pieces,250,150.00,6.00,28.00,2.00,1.00,410.00,0,0,0,fish|soy,223,225,204,217
918,Fruit Bowl,1 bowl,220,65.00,1.00,16.00,0.30,3.00,2.00,1,1,1,none,206,150,100,152
